"Subsystem"|"Scenario"|"Name (what-if...)"|"Type"|"Severity with existing safeguards in place"|"Likelihood of this severity with existing safeguards in place"|"Risk Ranking"|"Possible Causes"|"Possible Consequences"|"Existing Safeguards"|"Recommended Actions"
"A2. Human factors and human errors in general"|"3"|"Change, unauthorized (not hazardous), is made to compensate for something inconvenient, unsafe, or with a human-factors problem."|"Prior incident anywhere and human factors"|"Nuisance on-site"|"5% to 20% per year (every 5 to 20 years or so)"|"03. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Human error or poor judgment.
(4) Procedure is confusing, ignored, misunderstood, or wrong."|"(1) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(2) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection."|"(1) Change management is adequate.
(2) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(3) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(4) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(5) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(6) Production monitoring and quality control.
(7) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(8) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(9) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
"A2. Human factors and human errors in general"|"4"|"Climbing, stepping, or leaning ladder on, or hanging stuff from, ammonia-refrigeration equipment and piping."|"Prior incident anywhere and human factors"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"2% to 5% per year (every 20 to 50 years or so)"|"06. Attention needed -- if any recommended actions, review status at least monthly."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Human error or poor judgment.
(3) Ice, frost, snow, or other-frozen-water buildup in or on equipment, floor, piping, roofs, or supports.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Willful misconduct."|"(1) Damage due forces or loads exceeding capacity.
(2) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(3) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(4) Hinders maintenance or increases the need for repairs.
(5) Hinders safety, security, health, or environmental protection.
(6) Human errors become more likely or more severe.
(7) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Change management is adequate.
(3) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(4) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(5) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(6) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(7) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(8) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(9) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(10) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(11) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(12) Separation of ammonia refrigeration from people is adequate and considered in change management.
(13) Temperatures of equipment and piping are kept above their minimum design metal temperature (MDMT).
(14) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A2. Human factors and human errors in general"|"5"|"Controls inadvertently activated."|"Prior incident anywhere and human factors"|"Nuisance on-site"|"5% to 20% per year (every 5 to 20 years or so)"|"03. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Human error or poor judgment.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Procedure is confusing, ignored, misunderstood, or wrong."|"(1) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(2) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load."|"(1) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(2) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(3) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(4) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(5) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(6) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(7) Production monitoring and quality control.
(8) Pump safety shutoffs are adequate, for both ammonia and cooling-water pumps, including for their motors.
(9) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A2. Human factors and human errors in general"|"6"|"Controls indicate a problem but nobody notices."|"Prior incident anywhere and human factors"|"Nuisance on-site"|"Very unlikely (less than every 50 years)"|"01. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Alarm, public-address, paging, radio, or other emergency-communication system stops working.
(2) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(3) Design, fabrication, construction, or installation shortcoming or error.
(4) Human error or poor judgment.
(5) Willful misconduct."|"(1) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(2) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load."|"(1) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(2) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(3) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(4) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(5) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(6) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(7) Production monitoring and quality control.
(8) Pump safety shutoffs are adequate, for both ammonia and cooling-water pumps, including for their motors.
(9) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(10) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A2. Human factors and human errors in general"|"7"|"Cutting or opening, accidental, of ammonia-refrigeration equipment or piping."|"Prior incident anywhere and human factors"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Human error or poor judgment.
(4) Ice, frost, snow, or other-frozen-water buildup in or on equipment, floor, piping, roofs, or supports."|"(1) Explosion or fire more likely.
(2) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(3) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(4) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(5) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(6) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(7) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(8) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(9) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(11) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(15) Separation of ammonia refrigeration from people is adequate and considered in change management.
(16) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A2. Human factors and human errors in general"|"8"|"Incompetence or understaffing, of employees or contractors, due to changes in equipment or personnel."|"Prior incident anywhere and human factors"|"Nuisance on-site"|"20% to 90% per year (every couple-few years)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Policies or programs -- for contractors, human resources, safety, or training -- are inadequately designed or implemented."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Damage due forces or loads exceeding capacity.
(3) Equipment or piping becomes more susceptible to external physical damage.
(4) Explosion or fire more likely.
(5) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(6) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(7) Hinders maintenance or increases the need for repairs.
(8) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(9) Hinders safety, security, health, or environmental protection.
(10) Human errors become more likely or more severe.
(11) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(12) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(13) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(14) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(15) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(16) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(17) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(18) Leak of ammonia that will probably cause strong odors or worse offsite.
(19) Overpressure in equipment or piping.
(20) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load.
(21) Shocks that could damage equipment, piping, or supports.
(22) Water contamination in the ammonia refrigerant becomes too high."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Charging ammonia -- equipment, piping, and procedures are adequate.
(5) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(6) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(7) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(8) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(9) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(10) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(11) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(12) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(13) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(14) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(15) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(16) Oil-draining equipment and piping are adequately built, located, inspected, tested, and maintained.
(17) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(18) Post-weld heat treatment (PWHT) was done to vessels where stress-corrosion cracking (SCC) is rare but more likely to occur.
(19) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(20) Production monitoring and quality control.
(21) Pump safety shutoffs are adequate, for both ammonia and cooling-water pumps, including for their motors.
(22) Purging non-condensable gases is done effectively.
(23) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(24) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(25) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(26) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(27) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(28) Security, of the facility, no shortcomings discovered by the PHA team.
(29) Separation of ammonia refrigeration from people is adequate and considered in change management.
(30) Temperatures of equipment and piping are kept above their minimum design metal temperature (MDMT).
(31) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access.
(32) Vehicle or heavy cart traffic unlikely to damage ammonia-refrigeration equipment, piping, or supports."|""
"A2. Human factors and human errors in general"|"9"|"Incompetence, of employees or contractors, due to inadequate training."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"2% to 5% per year (every 20 to 50 years or so)"|"06. Attention needed -- if any recommended actions, review status at least monthly."|"(1) Policies or programs -- for contractors, human resources, safety, or training -- are inadequately designed or implemented."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Equipment or piping becomes more susceptible to external physical damage.
(3) Explosion or fire more likely.
(4) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(5) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(6) Hinders maintenance or increases the need for repairs.
(7) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(8) Hinders safety, security, health, or environmental protection.
(9) Human errors become more likely or more severe.
(10) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(11) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(12) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(13) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(14) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(15) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(16) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(17) Leak of ammonia into water or other liquids that may cause odors or flow into floor drains or similar.
(18) Leak of ammonia that will probably cause strong odors or worse offsite.
(19) Overpressure in equipment or piping.
(20) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load.
(21) Shocks that could damage equipment, piping, or supports.
(22) Water contamination in the ammonia refrigerant becomes too high."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Charging ammonia -- equipment, piping, and procedures are adequate.
(5) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(6) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(7) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(8) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(9) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(10) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(11) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(12) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(13) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(14) Oil-draining equipment and piping are adequately built, located, inspected, tested, and maintained.
(15) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(16) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(17) Production monitoring and quality control.
(18) Pump safety shutoffs are adequate, for both ammonia and cooling-water pumps, including for their motors.
(19) Purging non-condensable gases is done effectively.
(20) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(21) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(22) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(23) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(24) Security, of the facility, no shortcomings discovered by the PHA team.
(25) Separation of ammonia refrigeration from people is adequate and considered in change management.
(26) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access.
(27) Vehicle or heavy cart traffic unlikely to damage ammonia-refrigeration equipment, piping, or supports."|""
"A2. Human factors and human errors in general"|"10"|"Lockout-tagout is inadequate for the work underway, such as opening equipment or piping, removing guarding, or electrical."|"Prior incident anywhere and human factors"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"2% to 5% per year (every 20 to 50 years or so)"|"06. Attention needed -- if any recommended actions, review status at least monthly."|"(1) Human error or poor judgment.
(2) Procedure is confusing, ignored, misunderstood, or wrong.
(3) Shocks or vibrations cause damage.
(4) Stop valve closed without proper pump-out or manual opening of control valves.
(5) Temperature or humidity changes within or moderately outside of typically expected ranges.
(6) Valve-seat seal failure (seat-gasket degraded, debris on seat, not tight enough, etc.)
(7) Willful misconduct."|"(1) Explosion or fire more likely.
(2) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(3) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(4) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(5) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(6) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(7) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(8) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(9) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(5) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(6) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(7) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(8) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(9) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(12) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(13) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(14) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(15) Separation of ammonia refrigeration from people is adequate and considered in change management.
(16) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A2. Human factors and human errors in general"|"11"|"Motor wired so it rotates in the wrong direction, for electric motors in or that could affect the ammonia-refrigeration system."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Human error or poor judgment."|"(1) Compressor package internal or seal damage, and if safeties fail, leak or fire.
(2) Hinders maintenance or increases the need for repairs.
(3) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(4) Hinders safety, security, health, or environmental protection.
(5) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(6) Motor wired so it rotates in the wrong direction -- consequences at the facility. [UPDATE FOR COMPRESSORS, FANS  AND PUMPS USED]
(7) Overpressure in equipment or piping."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(12) Pumps, ammonia-refrigerant, and their piping are adequately built, controlled, located, inspected, tested, and maintained.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(15) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(16) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A2. Human factors and human errors in general"|"12"|"Oil draining, from the ammonia-refrigeration system, stop valve for draining is frozen, left, propped, or stuck open."|"Prior incident anywhere and human factors"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Human error or poor judgment.
(3) Ice, frost, snow, or other-frozen-water buildup in or on equipment, floor, piping, roofs, or supports.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(6) Temperature or humidity changes within or moderately outside of typically expected ranges.
(7) Willful misconduct."|"(1) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(2) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(3) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(4) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(5) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(6) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(7) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(8) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(9) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(5) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(6) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(7) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(8) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(9) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Oil-draining equipment and piping are adequately built, located, inspected, tested, and maintained.
(12) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(13) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(14) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(15) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(16) Security, of the facility, no shortcomings discovered by the PHA team.
(17) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A2. Human factors and human errors in general"|"13"|"Oil not drained where needed from the ammonia-refrigeration system."|"Prior incident anywhere and human factors"|"Nuisance on-site"|"2% to 5% per year (every 20 to 50 years or so)"|"02. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Inspection, testing, or maintenance (ITM) shortcoming or error.
(3) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"(1) Hinders maintenance or increases the need for repairs.
(2) Hinders operations. [UPDATE - SYSTEM SPECIFIC]"|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Change management is adequate.
(3) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(4) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(5) Oil-draining equipment and piping are adequately built, located, inspected, tested, and maintained.
(6) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(7) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety."|""
