"Type"|"Name"|"Status"|"Risk Ranking"|"Affected Entity"|"Deficiency"|"Details or Resolution Options"
"Possible Cause"|"Defrost, using water, time for pump down is either inadequate normally or unsafely reduced. [OK?]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* The pump-down time might be reduced:
- for faster production or
- to keep temperatures adequately low in product or room air.
* Low loads may cause liquid in a coil and piping to evaporate slower than expected, so that
- a pre-set pump-down time is not long enough.
* Low loads may be caused by:
- higher humidity in the cooled room, thicker frost layers on the coil, and so less heat transfer,
- cold air entering the cooled room,
- less heat generated in or entering the cooled room,
- and so forth."
"Possible Cause"|"Design, fabrication, construction, or installation shortcoming or error."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, 
* alignment is inadequate, including motor-to-compressor, bolted-joint flanges, etc.,
* equipment, piping, or the entire facility are not suited for their location, including
- a corrosive environment,
- external hazards create unreasonable risks, or
- too many people are often nearby,
* external hazards are not adequately protected against, in the USA, see 
- the National Risk Index for Natural Hazards and
- ASCE 7, Minimum Design Loads and Associated Criteria for Buildings and Other Structures, which describes the means for determining dead, live, soil, flood, tsunami, snow, rain, atmospheric ice, earthquake, and wind loads, and their combinations for general structural design,
* getting somewhere or doing something is harder than it needs to be,
* guarding from potential external impacts, such as vehicle traffic, is inadequate,
* guarding of moving parts is inadequate,
* interior erosion of the steel primary-containment envelop occurs, including because
- flow speeds in ammonia-refrigerant piping are above erosional speeds, such as at elbows, or
- pressure-vessel inlets cause erosional impingement against the interior of the vessel's walls,
* a minor shortcoming creates a small risk viewed as impractical to avoid, except perhaps by administrative controls,
* and so forth."
"Possible Cause"|"Expansion valve open too much, shock each time solenoid valve opens."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Fasteners, hangers, rods, or other support components -- loose or missing."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Filter or strainer clogged."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"On suction piping, this may lengthen the time needed for pump down.
This cause includes:
* filters for
- lubricating oil, including for the ammonia-refrigerant compressors,
- cooling-water for evaporative condensers,
- and so forth, and
* strainers, typically upstream of control valves, on ammonia-refrigerant
- hot-gas piping,
- liquid piping,
- suction piping,
- and so forth."
"Possible Cause"|"Fire, nearby and severe, or worse, and the resulting heat and temperatures."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes all types fires, if close enough, such as
- building fires,
- transportation-related fires,
- wildfires,
- and so forth."
"Possible Cause"|"Flood waters reach the ammonia-refrigeration system, its supports, or the building they are in or on."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Force or impact too strong"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes:
* impact from
- avalanche,
- airplane crash, 
- debris flow, mudslide, or volcanic flows (lahars, lava, pyroclastic, etc.),
- hail,
- hit with hammer, maybe because its stuck,
- train derailment,
- truck or other vehicle hits,
- waves (storm, tsunami, and so forth),
* pressure or weight from
- ice,
- flood waters,
- snow,
- tsunami,
- volcanic flows or ash,
- wind,
* shocks from explosions,
* stepping on piping,
* supports problem causes forces too high in supported thing, such as piping holding up the support where roof sagged,
* too much force used, including when turning a valve or tightening a threaded joint,
* tool dropped from height, 
* wind loads from hurricanes, tornadoes, and other high winds,
* wind- or explosion-driven projectile, 
* and so forth."
"Possible Cause"|"Foundations move due to settling, shifting, earthquake, landslide, soil liquefaction, and so forth."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Hose, ammonia, problem."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* damaged,
* degraded, especially if past its expiration date,
* internal pressure too high, so leaks or bursts."
"Possible Cause"|"Human error or poor judgment."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Ice, frost, snow, or other-frozen-water buildup in or on equipment, floor, piping, roofs, or supports."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* condenser, evaporative, water leak or excessive over-spray freezes onto the condenser, its supports, or catwalks, in cold weather, 
* drip pan for evaporator with defrost, or its drain piping, in a below 32 F space and inadequately heated,
* evaporator, air-cooling, with coils below 32 F and inadequate defrosting,
* freezing of water or other liquid being chilled, then buildup, such as on a falling film or other surface chiller,
* insulation damaged or inadequate on equipment or piping below 32 F,
* snow on roof exceeds design snow load,
* water leak from roof or elsewhere drips onto equipment, floor, piping, or supports below 32 F,
* water-supply piping fully or partly blocked by frozen water inside it."
"Possible Cause"|"Inspection, testing, or maintenance (ITM) shortcoming or error."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, involving
* air entry into the ammonia-refrigeration system during or after maintenance, such as by
- inadequate isolation methods or 
- inadequate evacuation and/or purging before returning opened equipment or piping to service.
* compressors,
* condenser spray nozzles, such that
- water spray erodes galvanized finish on condenser coils.
* fans, including for emergency ventilation of refrigerating-machinery rooms,
* gasket quality,
* grease or anti-seize quality,
* insulation,
* louvers, including for emergency ventilation of refrigerating-machinery rooms,
* lubricating-oil quality,
* oil leak, excessive, that is not noticed and fixed, including
- on shaft seals or
- that drains all the oil from a compressor while its oil heater is still running,
* oil-separators on compressors,
* paint,
* pressure-relief valves, such as not replaced when needed,
* pressure-relief discharge piping, the relief vent (RV) piping, such as any water that could block the RV piping or cause shocks is not drained,
* pipe-thread compound quality,
* pumps,
* sensors, including compressor low-suction, low-oil, or high-discharge pressure shutoffs or ammonia-in-air sensors,
* valves, such as
- left in normal position for too long without lubricating stem and exercising,
* vapor retarders or protective jackets for insulation,
* and so forth."
"Possible Cause"|"Joint, bolted, problem."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Examples: (A) inadequate clamping force (bolts loose, missing, unevenly tight...), or (B) mating surfaces (flanges...) damaged or inadequate or (C) any needed gaskets (including o-rings) damaged, missing, or inadequate."
"Possible Cause"|"Joint, threaded, problem."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Examples: (A) loose, (B) threads damaged or inadequate, or (C) any needed gaskets (including o-rings) damaged, missing, or inadequate."
"Possible Cause"|"Level signal wrong -- higher than actual, or float switch stuck in high position."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Level signal wrong -- lower than actual, or float switch stuck in low position."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Lightning strike"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Liquid accumulation in hot-gas piping."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* Ammonia-refrigerant hot gas may condense into a liquid when there is little or no flow in hot-gas defrost (HGD) piping, between defrosts, and so may need to be safely drained before enough accumulates to cause vapor propelled liquid slugs. 
* The following may result in shocks.
- HGD piping that does not pitch to
> a liquid drainer or
> compressor-discharge piping that would evaporate most liquid that drains into it, or carry the liquid to the condensers (typically high-stage discharge, HSD, piping).
- A liquid drainer on hot-gas piping does not drain liquid, due to
> a stop valve to/from it is left closed (human error),
> mechanical jam or plugging."
"Possible Cause"|"Loads added without properly evaluating."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, additional:
* equipment installed on a roof or floor, 
* piping installed on a rack or hanger, or
* heat or refrigeration loads added to an existing system."
"Possible Cause"|"Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes a control valve that is stuck:
* closed,
* fully open, or
* partly open."
"Possible Cause"|"Normal activity that is reasonably safe with proper precautions."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes,
* startup after a long shutdown, when ammonia-refrigerant compressor-suction pressures are high.
"
"Possible Cause"|"Oxygen, nitrogen, or other non-condensable gas content is too high."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* For example:
- automatic purger not working properly or
- manual purging neglected.
* Air can enter closed-circuit refrigeration systems when they are opened for maintenance or through leaks in any below-atmospheric pressure equipment or piping.
* Here, non-condensable gases means gases that neither dissolve in ammonia nor condense to a liquid under the temperature and pressure conditions in the refrigerant condenser.  Water is very soluble in ammonia, but other components of air mostly are not."
"Possible Cause"|"People are not kept a reasonably safe distance from dangerously malfunctioning things or higher-hazard special work."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* employees remain in room with a small ammonia leak that may signal the possibility of a more rapid leak."
"Possible Cause"|"Policies or programs -- for contractors, human resources, safety, or training -- are inadequately designed or implemented."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Pressure-relief system inadequate."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* relief vent (RV) piping open to the atmosphere is partly located in spaces with temperatures 
- below the dew point at the piping's atmospheric outlet, so water will condense in it,
- at 32 F or below, so water that condenses in it will freeze,
* rain or snow can enter RV piping too easily, at its outlet to the atmosphere, 
* RV piping is not adequately pitched to water traps,
* water is not drained from water traps that completely fill with water and 
- start to block RV piping,
- fills RV piping enough to cause shocks via vapor-propelled liquid slugs, if a pressure-relief valve opens,
* inlet piping, including any valves, creates too much friction at needed pressure-relief flows, causing unacceptable pressures in the protected equipment or piping,
* a pressure-relief device is too small for the equipment (including vessels) and piping that it protects, under a reasonable design scenario or during an actual incident,
* RV piping is not sized to handle all pressure-relief valves connected to it fully discharging into it at once, such as during a major fire,
* an additional pressure-relief valve outlet is tied into existing RV piping that cannot handle the additional flows, if multiple relief valves on the existing RV piping open at once,
* RV piping outlet (the potential ammonia gas discharge location) is not reasonably safe,
* and so forth."
"Possible Cause"|"Procedure is confusing, ignored, misunderstood, or wrong."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* Compressor lockout-tagout procedures don't include locking out its oil heater."
"Possible Cause"|"Roof, piping, or other leak causes damage."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, leaking
* water or 
* another material 
that damages 
* envelopes of buildings or rooms (that control air or moisture movement),
* equipment,
* floors,
* piping, or
* supports, including 
- buildings, 
- hangers, or
- structures."
"Possible Cause"|"Shocks or vibrations cause damage."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, damage to
* insulation,
* paint,
* steel primary containment (equipment and piping),
* supports, or
* vapor retarders or protective jackets in insulation systems."
"Possible Cause"|"Spring problem."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* Broken or less stiff due to
- repeated use, including pressure-relief valves that, if opened once, may open at a different pressure the next time, or
- corrosion, such as caused by exposure to moisture and oxygen, including the springs in pressure-relief valves that discharge to the atmosphere.
* Jammed or gummed up.
"
"Possible Cause"|"Stop valve closed without proper pump-out or manual opening of control valves."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, stop valve closed downstream of a check valve, upstream of a solenoid valve or other control valve that prevents forward flow, or two stop valves closed in series."
"Possible Cause"|"Stress-corrosion cracking (SCC)"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Very rare in closed-circuit, mechanical, ammonia refrigeration, but, when it has occurred: 
(A) it has typically initially been detected after small ammonia leaks, where a crack propagated through a steel vessel wall 
(A.1) rather than by bursting steel vessels, reports of which the PHA team is not aware due to SCC, 
(B) it has more often been in portions of refrigeration systems with 
(B.1) higher residual stresses in the steel primary containment, such as in vessels (typically larger ones have higher residual stresses) 
(B.1.1) near welded joints, both the weld metal and the heat-affected zone, or 
(B.1.2) in cold formed steel, such as often the elliptical heads of vessels, 
(B.2) higher pressures, temperatures, and oxygen content but lower water and lubricating oil content, such as the head spaces of
(B.2.1) high-pressure receivers,
(B.2.2) thermosiphon receivers, and
(B.2.3) others vessels exposed to hot gas, like some transfer vessels or defrosted equipment; 
(B.3) conversely, the PHA team is not aware of SCC reported in
(B.3.1) compressor oil separators (perhaps because their interior surfaces are normally coated with lubricating oil).
* IIAR Bulletin 110, published in 1993, and IIAR 2, since at least the 2008 edition, have included information on SCC.
* Besides SCC, the PHA team is not aware of any reports of other internal-corrosion mechanisms of steel in closed-circuit, mechanical, ammonia refrigeration service, perhaps due to the low oxidation potential of ammonia and the protection provided by traces of lubricating oil."
"Possible Cause"|"Supports for piping or equipment inadequate, so normal vibrations are amplified into swaying, and so forth."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Temperature or humidity changes within or moderately outside of typically expected ranges."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* Doesn't include high temperatures from: 
- severe fires or other sources of similar or higher temperatures.
* Includes temperature or humidity changes from:
- cleaning, clean-in-place, and other sanitation,
- routine shutdowns."
"Possible Cause"|"Valve-seat seal failure (seat-gasket degraded, debris on seat, not tight enough, etc.)"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Valve-stem seal failure (packing damage, not tight enough, etc.)"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Vehicle moves unexpectedly."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* tanker truck during transfers, such as ammonia charging, 
* parking brakes not set,
* wheels not chocked."
"Possible Cause"|"Vessel or piping temperature is below its minimum design metal temperature (MDMT)."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* during normal operations or
* an upset condition, such as
- equipment or piping vented to the atmosphere while it still contains liquid ammonia refrigerant."
"Possible Cause"|"Willful misconduct."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* arson,
* blocking a leaking pressure-relief outlet,
* falsifying documentation, for example, not doing an inspection and marking it done,
* intoxicated, playing, or sleeping on the job (security guard watching a movie...),
* obstructing exit routes, for example, by excessive carelessness with storage or after spilling oil,
* passwords or combinations posted in plain sight of systems they protect,
* propping open a self-closing valve, such as on oil drains,
* tampering with control valves or setpoints,
* violating specifications knowingly and intentionally, such as
- to save money or time, and,
- if intentional, adding to, or using on, refrigeration-system equipment or piping
> farm-grade anhydrous ammonia,
> inadequate grease or lubricating oil."
"Possible Cause"|"Wrong substance or concentration added or used."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, 
- freeze point of brine or glycol-water mixture is too high (salt or glycol concentration is too low),
- farm-grade anhydrous ammonia,
- copper based anti-seize,
- wrong lubricating oil (to thick or thin, cannot handle the temperature, and so forth),
- acid or caustic."
"Possible Consequence"|"Compressor contains liquid ammonia refrigerant, when it starts, due to condensation while off."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* This includes condensation
- in the compressor or 
- near the compressor that drained into it.
* It can happen when a cold draft blows against a compressor, its oil separator, or its discharge piping."
"Possible Consequence"|"Compressor package internal or seal damage, and if safeties fail, leak or fire."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"See safeguard on: Compressor controls and safety shutoffs..."
"Possible Consequence"|"Damage due forces or loads exceeding capacity."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes:
* dead, live, soil, flood, tsunami, snow, rain, atmospheric ice, earthquake, and wind loads,
* torque,
* and so forth."
"Possible Consequence"|"Equipment or piping becomes more susceptible to external physical damage."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example,
* vessels operated below their minimum design metal temperature (MDMT) during normal operations or an upset condition, such as
- equipment or piping vented to the atmosphere while it still contains liquid ammonia refrigerant."
"Possible Consequence"|"Explosion or fire more likely."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* When oil droplets/mists are mixed with ammonia in air, the mixture's lower-flammability limit is lower than pure ammonia.
* The flammable range for pure ammonia (no oil droplets) in dry air is about 15% to 27% (150,000 to 270,000 ppm), and in very humid air is about 16% to 26.5%.
* Leaks in oil separators for ammonia-refrigerant compressors or in downstream discharge piping can cause:
- rapid pressure drops 
- foaming in oil, as ammonia dissolved the oil boils,
- spraying of oil and ammonia mixtures from the leak, and
- fire or explosions where the compressor is located.
* If ammonia leaks across a heat exchanger into lower-pressure piping, the pressure-relief systems on the ammonia piping will not typically prevent the lower pressure piping from exploding or bursting open. 
- The lower-pressure piping needs to be open to the atmosphere or protected by its own, lower-pressure, pressure-relief devices."
"Possible Consequence"|"Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* Includes things that cause stop valves to:
- get stuck open,
- leak by, such a due to poor seat seals."
"Possible Consequence"|"Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* Includes things that cause stop valves to:
- get stuck open,
- leak by, such a due to poor seat seals."
"Possible Consequence"|"Hinders maintenance or increases the need for repairs."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* For example,
- damage to insulation or paint, from bumps or scratches, which can lead to rusting of underlying steel.
* Includes things that cause stop valves to:
- get stuck open,
- leak by, such a due to poor seat seals."
"Possible Consequence"|"Hinders operations. [UPDATE - SYSTEM SPECIFIC]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"This includes things that
* damage products or raw materials, such as in cold storage,
* reduce production or
* increase the operation of:
- automatic purgers,
- transfer systems for liquid-ammonia refrigerant. [IF PRESENT]"
"Possible Consequence"|"Hinders safety, security, health, or environmental protection."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Consequence"|"Human errors become more likely or more severe."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Consequence"|"Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes:
* 150 PSI pressure-relief valve opens during a hot-weather power outage."
"Possible Consequence"|"Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* The following ammonia-refrigeration equipment or piping is located near walkways, parking lots, or other outdoor areas:
[DESCRIBE ANY -- NOTE IF PEOPLE ARE OFTEN PRESENT THERE -- NOT JUST DURING WORK ON THE EQUIPMENT THERE.]
* This consequence also includes:
- ammonia leaks that occur inside or above roofs but that are likely to reach outside air near ground level, onsite, such as from
> a ventilation outlet in a wall,
> an often-open door or window,
> a pressure relief valve located low enough for this to happen, and
> a big enough ammonia leak above a roof, under conditions when air cooled by the refrigerant leak will sink."
"Possible Consequence"|"Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"* For example, an ammonia leak that contaminates the air in: 
- the facility's refrigerating-machinery room.
[DESCRIBE ANY OTHER ROOMS OR SPACES AT THE FACILITY WITH THESE SAFETY SYSTEMS, INCLUDING, IF APPLICABLE AND IF AN AMMONIA LEAK MAY OCCUR OR ENTER THERE: PITS, TUNNELS, SPACES BETWEEN CEILINGS AND ROOFS, ETC.]
* Includes leaks of ammonia near the fresh-air inlets for the room, such as ventilation intakes, louvers, or sometimes-open windows or doors.
* Normal ventilation means air circulation and air exchanges for comfort and air quality, for example per the building code for the type of occupancy."
